Viti,Muaji,Përshkrimi i Sektorit,Komuna,Statusi i Regjistrimit,Përshkrimi i Gjobave në bazë të Ligjit,Numri i Tatimpaguesve,Numri i Gjobave të Lëshuara,Vlera e Gjobave të Lëshuara
2019,2,21,35,4,37,1,1,125.0
2019,2,21,35,4,38,1,1,500.0
2019,2,21,7,18,37,1,1,125.0
2019,2,21,7,18,39,2,2,2000.0
2019,2,21,7,4,48,4,4,2312.5
2019,2,21,7,4,41,1,1,662.5
2019,2,21,7,4,37,4,4,2312.5
2019,2,21,17,18,38,2,2,1750.0
2019,2,21,17,18,36,2,2,1750.0
2019,2,21,19,18,37,1,1,125.0
2019,2,21,19,4,48,3,3,525.0
2019,2,21,19,4,41,4,4,1375.0
2019,2,21,19,4,37,1,1,125.0
2019,2,21,26,18,48,1,1,815.0
2019,2,21,26,18,41,3,3,1375.0
2019,2,21,26,18,35,1,1,2500.0
2019,2,21,26,18,37,6,6,875.0
2019,2,21,26,18,38,2,2,750.0
2019,2,21,26,18,39,8,8,15000.0
2019,2,21,26,18,52,1,2,6000.0
2019,2,21,26,18,58,2,8,16000.0
2019,2,21,26,18,36,1,1,815.0
2019,2,21,26,4,48,3,3,1651.8
2019,2,21,26,4,41,5,5,1750.0
2019,2,21,26,4,35,1,1,125.0
2019,2,21,26,4,37,10,10,2831.25
2019,2,21,26,4,38,3,3,3750.0
2019,2,21,26,4,39,2,2,3500.0
2019,2,21,26,4,36,1,1,570.55
2019,2,21,32,4,41,2,2,375.0
2019,2,21,32,4,38,1,1,250.0
2019,2,21,3,18,48,1,1,7100.97
2019,2,21,3,18,39,2,2,10100.97
2019,2,21,3,4,37,1,1,125.0
2019,2,21,3,4,38,1,1,500.0
2019,2,12,5,18,39,1,1,1000.0
2019,2,12,4,20,39,1,1,4000.0
2019,2,12,19,18,39,1,1,1000.0
2019,3,8,27,18,41,1,1,250.0
2019,3,8,27,18,37,1,1,250.0
2019,3,17,24,18,38,1,1,250.0
2019,3,17,24,18,36,1,1,500.0
2019,3,17,34,15,38,1,1,250.0
2019,3,17,5,18,39,1,1,1000.0
2019,3,17,16,4,37,1,1,125.0
2019,3,17,16,4,36,1,1,3000.0
2019,3,17,2,18,35,2,2,750.0
2019,3,17,4,18,39,1,1,1000.0
2019,3,17,4,4,39,1,1,1000.0
2019,3,17,27,18,39,1,1,1000.0
2019,3,17,27,18,36,1,1,1000.0
2019,3,17,27,4,38,2,2,1250.0
2019,3,17,25,4,37,1,1,625.0
2019,3,17,25,4,38,1,1,500.0
2019,3,17,33,4,41,1,1,125.0
2019,3,17,17,4,39,1,1,2000.0
2019,3,17,19,4,41,1,1,250.0
2019,3,17,19,4,37,1,1,250.0
2019,3,17,26,18,37,3,3,1625.0
2019,3,17,26,18,38,1,1,250.0
2019,3,17,26,18,39,4,4,10125.0
2019,3,17,26,18,36,1,1,2000.0
2019,3,17,26,4,41,1,1,250.0
2019,3,17,26,4,37,1,1,250.0
2019,3,17,26,5,37,1,1,1125.0
2019,3,17,26,5,39,2,2,2125.0
2019,3,17,26,20,39,1,1,3000.0
2019,3,17,36,4,39,1,1,1000.0
2019,3,18,24,16,38,1,1,500.0
2019,3,18,24,16,39,2,2,2000.0
2019,3,18,34,16,53,1,2,4000.0
2019,3,18,9,16,52,1,1,3000.0
